OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
53,Conejos County,08021,Conejos,08,CONEJOS,021,1621,7439,21790.56,1614,7,49,49,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.339368543220644,2.79157037289598
54,El Paso County,08041,El Paso,08,EL PASO,041,173895,731640,23767.84,173443,452,1546,1545,1,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.57220360663473,3.26110555570834
55,Kiowa County,08061,Kiowa,08,KIOWA,061,315,1461,21560.57,315,0,6,6,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.477252055292865,3.61712328220314
56,Teller County,08119,Teller,08,TELLER,119,4576,24777,18468.74,4569,7,54,54,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.150289940799894,1.82234496665049
57,Gunnison County,08051,Gunnison,08,GUNNISON,051,3130,16943,18473.71,3127,3,13,13,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.873850227878847,5.35340775023619
58,Baca County,08009,Baca,08,BACA,009,760,3476,21864.21,755,5,8,8,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.673306733663821,3.38201391171949
59,Elbert County,08039,Elbert,08,ELBERT,039,4534,26187,17313.93,4518,16,34,34,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.500512699317142,3.29599722898003
60,Mesa County,08077,Mesa,08,MESA,077,39683,155910,25452.5,39589,94,510,510,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.900045880504877,5.03656160808275
61,Dolores County,08033,Dolores,08,DOLORES,033,342,2341,14609.14,339,3,7,7,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.282849017190074,3.16637669425976
62,Arapahoe County,08005,Arapahoe,08,ARAPAHOE,005,143692,655047,21936.14,143497,195,1104,1104,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.218915734368238,3.71431429249478
63,Las Animas County,08071,Las Animas,08,LAS ANIMAS,071,3292,14559,22611.44,3268,24,39,39,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",1.25727666851049,5.53775154815317
64,Grand County,08049,Grand,08,GRAND,049,3346,15709,21299.89,3347,-1,23,23,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.511446195800545,4.13096504799278
65,OUT OF STATE,,OUT OF STATE,08,OUT OF STATE,,,,,,,,,,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",,
66,UNKNOWN,,UNKNOWN,08,UNKNOWN,,,,,,,,,,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",,
67,INTERNATIONAL,,INTERNATIONAL,08,INTERNATIONAL,,104,,,103,1,,,,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",,
